Datetime,Resolution code,Offshore/onshore,Region,Grid connection type,Measured & Upscaled,Most recent forecast,Most recent P10,Most recent P90,Day Ahead 11AM forecast,Day Ahead 11AM P10,Day Ahead 11AM P90,Day-ahead 6PM forecast,Day-ahead 6PM P10,Day-ahead 6PM P90,Week-ahead forecast,Week-ahead P10,Week-ahead P90,Monitored capacity,Load factor,Decremental bid Indicator
31-01-2018 23:00,PT15M,Onshore,Wallonia,Elia,20.75,31.98,10.48,53.48,42.23,13.5,70.97,40.59,12.09,69.09,37.39,0.53,77.51,104.5,0.2,''
31-01-2018 22:45,PT15M,Onshore,Flanders,Elia,24.5,23.09,11.09,35.18,28.54,15.79,40.63,27.56,14.87,39.94,21.97,3.24,40.42,53.86,0.45,''
31-01-2018 22:45,PT15M,Onshore,Flanders,Dso,270.12,283.13,117.06,451.9,390.58,205.25,574.11,380.68,197.51,562.77,327.79,42.9,620.97,990.66,0.27,''
31-01-2018 22:45,PT15M,Onshore,Wallonia,Dso,163.77,160.33,56.13,270.52,251.25,119.02,383.1,245.28,114.15,376.36,222.44,20.21,431.49,595.7,0.27,''
31-01-2018 22:45,PT15M,Onshore,Wallonia,Elia,17.73,32.76,11.11,54.4,42.11,13.32,70.9,40.91,12.32,69.49,37.32,0.52,77.39,104.5,0.17,''
31-01-2018 22:45,PT15M,Offshore,Federal,Elia,809.22,740.62,607.72,860.84,775.51,653.05,865.19,768.04,652.81,867.34,552.28,202.97,843.61,877.2,0.92,''
31-01-2018 22:30,PT15M,Onshore,Wallonia,Dso,168.79,167.2,60.94,279.67,255.88,123.96,386.95,250.67,120.04,381.12,222.35,19.95,431.36,595.7,0.28,''
31-01-2018 22:30,PT15M,Onshore,Wallonia,Elia,16.83,33.27,11.4,55.15,42.67,13.75,71.59,41.44,12.72,70.16,37.26,0.51,77.28,104.5,0.16,''
31-01-2018 22:30,PT15M,Onshore,Flanders,Dso,263.7,284.65,117.45,454.68,387.45,202.35,570.94,380.86,197.63,563.12,327.99,43.06,621.06,990.66,0.27,''
31-01-2018 22:30,PT15M,Offshore,Federal,Elia,813.77,753.44,626.25,865.23,776.13,658.06,865.35,769.55,657.54,867.28,551.99,202.6,843.54,877.2,0.93,''
31-01-2018 22:30,PT15M,Onshore,Flanders,Elia,23.39,22.89,10.84,35.04,28.18,15.53,40.3,27.7,15.14,40.02,21.98,3.29,40.37,53.86,0.43,''
31-01-2018 22:15,PT15M,Onshore,Flanders,Elia,22.88,22.69,10.59,34.9,27.82,15.28,39.96,27.84,15.4,40.1,21.98,3.34,40.32,53.86,0.42,''
31-01-2018 22:15,PT15M,Onshore,Wallonia,Dso,182.1,174.08,65.75,288.81,260.51,128.89,390.8,256.06,125.93,385.86,222.25,19.69,431.21,595.7,0.31,''
31-01-2018 22:15,PT15M,Offshore,Federal,Elia,829.27,766.25,644.77,869.62,776.75,663.07,865.5,771.06,662.28,867.22,551.69,202.23,843.47,877.2,0.95,''
31-01-2018 22:15,PT15M,Onshore,Flanders,Dso,275.37,286.17,117.83,457.47,384.33,199.45,567.77,381.05,197.76,563.46,328.2,43.21,621.15,990.66,0.28,''
31-01-2018 22:15,PT15M,Onshore,Wallonia,Elia,20.21,33.79,11.69,55.89,43.23,14.18,72.28,41.98,13.13,70.84,37.21,0.51,77.16,104.5,0.19,''
31-01-2018 22:00,PT15M,Offshore,Federal,Elia,814.98,779.07,663.29,874.02,777.37,668.09,865.66,772.57,667.01,867.16,551.4,201.85,843.39,877.2,0.93,''
31-01-2018 22:00,PT15M,Onshore,Flanders,Elia,21.94,22.49,10.34,34.76,27.46,15.02,39.62,27.98,15.66,40.18,21.98,3.39,40.27,53.86,0.41,''
31-01-2018 22:00,PT15M,Onshore,Flanders,Dso,245.74,287.68,118.22,460.25,381.2,196.56,564.6,381.23,197.88,563.81,328.41,43.37,621.24,990.66,0.25,''
31-01-2018 22:00,PT15M,Onshore,Wallonia,Elia,21.69,34.31,11.98,56.63,43.79,14.61,72.98,42.52,13.54,71.51,37.16,0.5,77.05,104.5,0.21,''
